GEO_ID,NAME,P004001,P004001ERR,P004002,P004003,percentage,geo_id_edited
0500000US08001,"Adams County, Colorado",441603,null,273725,167878,0.380155932,8001
0500000US08003,"Alamosa County, Colorado",15445,null,8335,7110,0.460343153,8003
0500000US08005,"Arapahoe County, Colorado",572003,T1_POP$0500000US08005,466481,105522,0.184478053,8005
0500000US08007,"Archuleta County, Colorado",12084,null,9936,2148,0.17775571,8007
0500000US08009,"Baca County, Colorado",3788,null,3440,348,0.09186906,8009
0500000US08011,"Bent County, Colorado",6499,null,4514,1985,0.305431605,8011
0500000US08013,"Boulder County, Colorado",294567,null,255291,39276,0.133334691,8013
0500000US08014,"Broomfield County, Colorado",55889,null,49673,6216,0.111220455,8014
0500000US08015,"Chaffee County, Colorado",17809,null,16131,1678,0.094222023,8015
0500000US08017,"Cheyenne County, Colorado",1836,null,1658,178,0.096949891,8017
0500000US08019,"Clear Creek County, Colorado",9088,null,8659,429,0.047205106,8019
0500000US08021,"Conejos County, Colorado",8256,null,3636,4620,0.559593023,8021
0500000US08023,"Costilla County, Colorado",3524,null,1197,2327,0.660329171,8023
0500000US08025,"Crowley County, Colorado",5823,null,4137,1686,0.289541473,8025
0500000US08027,"Custer County, Colorado",4255,null,4055,200,0.047003525,8027
0500000US08029,"Delta County, Colorado",30952,null,26607,4345,0.140378651,8029
0500000US08031,"Denver County, Colorado",600158,T1_POP$0500000US08031,409193,190965,0.31819121,8031
0500000US08033,"Dolores County, Colorado",2064,null,1982,82,0.039728682,8033
0500000US08035,"Douglas County, Colorado",285465,null,264073,21392,0.074937383,8035
0500000US08037,"Eagle County, Colorado",52197,null,36508,15689,0.30057283,8037
0500000US08039,"Elbert County, Colorado",23086,null,21852,1234,0.053452309,8039
0500000US08041,"El Paso County, Colorado",622263,null,528598,93665,0.150523171,8041
0500000US08043,"Fremont County, Colorado",46824,null,41054,5770,0.123227405,8043
0500000US08045,"Garfield County, Colorado",56389,null,40411,15978,0.283353136,8045
0500000US08047,"Gilpin County, Colorado",5441,null,5174,267,0.049071862,8047
0500000US08049,"Grand County, Colorado",14843,null,13727,1116,0.075186957,8049
0500000US08051,"Gunnison County, Colorado",15324,null,14069,1255,0.081897677,8051
0500000US08053,"Hinsdale County, Colorado",843,null,819,24,0.028469751,8053
0500000US08055,"Huerfano County, Colorado",6711,null,4343,2368,0.352853524,8055
0500000US08057,"Jackson County, Colorado",1394,null,1244,150,0.107604017,8057
0500000US08059,"Jefferson County, Colorado",534543,null,458098,76445,0.14301001,8059
0500000US08061,"Kiowa County, Colorado",1398,null,1320,78,0.055793991,8061
0500000US08063,"Kit Carson County, Colorado",8270,null,6696,1574,0.190326481,8063
0500000US08065,"Lake County, Colorado",7310,null,4452,2858,0.390971272,8065
0500000US08067,"La Plata County, Colorado",51334,null,45278,6056,0.117972494,8067
0500000US08069,"Larimer County, Colorado",299630,null,268002,31628,0.105556853,8069
0500000US08071,"Las Animas County, Colorado",15507,null,9061,6446,0.41568324,8071
0500000US08073,"Lincoln County, Colorado",5467,null,4784,683,0.124931407,8073
0500000US08075,"Logan County, Colorado",22709,null,19158,3551,0.156369721,8075
0500000US08077,"Mesa County, Colorado",146723,null,127171,19552,0.133257908,8077
0500000US08079,"Mineral County, Colorado",712,null,691,21,0.029494382,8079
0500000US08081,"Moffat County, Colorado",13795,null,11810,1985,0.143892715,8081
0500000US08083,"Montezuma County, Colorado",25535,null,22717,2818,0.110358332,8083
0500000US08085,"Montrose County, Colorado",41276,null,33149,8127,0.196894079,8085
0500000US08087,"Morgan County, Colorado",28159,null,18653,9506,0.337583011,8087
0500000US08089,"Otero County, Colorado",18831,null,11235,7596,0.40337741,8089
0500000US08091,"Ouray County, Colorado",4436,null,4240,196,0.04418395,8091
0500000US08093,"Park County, Colorado",16206,null,15423,783,0.048315439,8093
0500000US08095,"Phillips County, Colorado",4442,null,3612,830,0.186852769,8095
0500000US08097,"Pitkin County, Colorado",17148,null,15587,1561,0.091031024,8097
0500000US08099,"Prowers County, Colorado",12551,null,8134,4417,0.351924149,8099
0500000US08101,"Pueblo County, Colorado",159063,null,93252,65811,0.413741725,8101
0500000US08103,"Rio Blanco County, Colorado",6666,null,6001,665,0.099759976,8103
0500000US08105,"Rio Grande County, Colorado",11982,null,6896,5086,0.424470038,8105
0500000US08107,"Routt County, Colorado",23509,null,21909,1600,0.068059041,8107
0500000US08109,"Saguache County, Colorado",6108,null,3656,2452,0.401440733,8109
0500000US08111,"San Juan County, Colorado",699,null,615,84,0.120171674,8111
0500000US08113,"San Miguel County, Colorado",7359,null,6729,630,0.085609458,8113
0500000US08115,"Sedgwick County, Colorado",2379,null,2090,289,0.121479613,8115
0500000US08117,"Summit County, Colorado",27994,null,24005,3989,0.14249482,8117
0500000US08119,"Teller County, Colorado",23350,null,22056,1294,0.055417559,8119
0500000US08121,"Washington County, Colorado",4814,null,4407,407,0.084545077,8121
0500000US08123,"Weld County, Colorado",252825,null,181145,71680,0.283516266,8123
0500000US08125,"Yuma County, Colorado",10043,null,7955,2088,0.207906004,8125
